MCC/MNC,Ext.,Name,username,password,Number,APN,Auth Mode,DNS1,DNS2
746030,,DIGICEL INTERNET,,,*99#,web,0,,
738010,,DIGICEL INTERNET,,,*99#,web,0,,
732142,,UNE4GREVOLUTION,,,*99#,,2,,
732123,,Internet Movil,movistar,movistar,*99#,internet.movistar.com.co,1,,
732111,,TIGO,,,*99#,web.colombiamovil.com.co,2,,
732101,,COMCEL 3.5G,,,*99#,ba.amx,1,,
732002,,EDATEL,,,*99#,,2,,
722341,,Personal Internet Movil,internet,internet,*99#,internet.personal.com,2,,
722310,,Claro LTE 4G,ctigprs,ctigprs999,*99#,ba.amx,2,,
714041,,Digicelpanama,,,*99#,web.digicelpanama.com,1,,
710300,,Movistar INTERNET,movistarni,movistarni,*99#,internet.movistar.ni,0,,
708020,,BROADBAND TIGO HN,,,*99#,broadband.tigo.hn,0,,
708001,,Internet CLARO,,,*99#,BA.AMX,0,,
706020,,DIGICEL INTERNET,,,*99#,web.digicelsv.com,0,,
416770,,Orange JO,,,*99#,net.orange.jo,0,,
405932,,Videocon Internet,,,*99#,vinternet.com,2,,
405931,,Etisalat Internet,,,*99#,internet,2,,
405930,,Etisalat Internet,,,*99#,internet,2,,
405929,,UNINOR Internet,,,*99#,uninor,2,,
405928,,UNINOR Internet,,,*99#,uninor,2,,
405927,,UNINOR Internet,,,*99#,uninor,2,,
405926,,UNINOR Internet,,,*99#,uninor,2,,
405925,,UNINOR Internet,,,*99#,uninor,2,,
405924,,Etisalat Internet,,,*99#,internet,2,,
405923,,Etisalat Internet,,,*99#,internet,2,,
405922,,Etisalat Internet,,,*99#,internet,2,,
405921,,Etisalat Internet,,,*99#,internet,2,,
405920,,Etisalat Internet,,,*99#,internet,2,,
405919,,Etisalat Internet,,,*99#,internet,2,,
405918,,Etisalat Internet,,,*99#,internet,2,,
405917,,Etisalat Internet,,,*99#,internet,2,,
405916,,Etisalat Internet,,,*99#,internet,2,,
405915,,Etisalat Internet,,,*99#,internet,2,,
405914,,Etisalat Internet,,,*99#,internet,2,,
405913,,Etisalat Internet,,,*99#,internet,2,,
405912,,Etisalat Internet,,,*99#,internet,2,,
405911,,Idea Internet,,,*99#,internet,2,,
405910,,Idea Internet,,,*99#,internet,2,,
